team,elo
Bayern Munich,1861.341565928443
Dortmund,1731.1318121998986
Leverkusen,1707.2977094634414
RB Leipzig,1677.453605033828
Stuttgart,1671.9590661312004
Hoffenheim,1609.3508995882237
Freiburg,1605.5337204436728
Ein Frankfurt,1595.9845317123788
Unterhaching,1583.0663738256567
Mainz,1577.7718633619832
Augsburg,1545.3668755608892
Munich 1860,1536.3002428407644
M'gladbach,1536.14856813211
Union Berlin,1532.0924165536667
M'Gladbach,1530.654413925482
Hamburg,1518.8927162617917
Werder Bremen,1512.113541702668
Ulm,1506.4658877204863
Ingolstadt,1496.7165124111384
Fortuna Dusseldorf,1496.4910665576097
Wolfsburg,1487.991012527633
FC Koln,1486.033494111206
Aachen,1484.7128149550565
Karlsruhe,1484.506163292167
Bielefeld,1475.6378104180367
Cottbus,1472.862132299448
Hertha,1472.0460264317644
Hansa Rostock,1470.0532320606505
Schalke 04,1468.2919697555105
Kaiserslautern,1466.259427078719
Holstein Kiel,1460.7545153962355
Braunschweig,1458.6919666995973
Bochum,1458.3424141831372
Heidenheim,1457.729858908878
Wattenscheid,1454.2642954968537
Uerdingen,1434.1621158820665
Hannover,1429.3601267260249
Paderborn,1425.8852583801747
Nurnberg,1423.1561588159204
St Pauli,1419.0639784678917
Greuther Furth,1414.5266531485331
Darmstadt,1398.9996781422703
Duisburg,1359.2556987167586
Dusseldorf,1323.4816112575038
Dresden,1300.9039727642216
Leipzig,1180.8942247284058
