team,elo
Arsenal,1795.4564583208314
Man City,1778.2518734106357
Liverpool,1697.1089078285838
Man United,1680.6997802422604
Aston Villa,1675.3529499267026
Bournemouth,1659.841389912915
Brighton,1621.567228941324
Brentford,1621.0393770666954
Chelsea,1620.9810965342876
Newcastle,1609.1858711832506
Fulham,1589.3429054457274
Nott'm Forest,1586.346293874046
Everton,1575.6181710909862
Crystal Palace,1573.9091409277733
Sheffield Weds,1565.7130499418456
Leeds,1559.6168502846808
Sunderland,1554.1469431662633
West Ham,1538.7383742178883
Tottenham,1518.7367195450222
Birmingham,1503.7764203122374
Stoke,1497.1729528599892
Wigan,1492.0269938836395
Charlton,1491.093755042689
Blackpool,1490.1015756640359
Swansea,1485.3195739095427
Bradford,1482.9944483952563
Bolton,1481.86742250113
Blackburn,1476.1263061628097
Portsmouth,1469.4574816861266
Wolves,1465.3923573720128
Reading,1450.692316179677
Hull,1450.3386506624972
Leicester,1446.9293665870339
West Brom,1446.1592667969535
Cardiff,1446.032604040096
Middlesbrough,1445.8761495580486
Luton,1445.5140096480952
Burnley,1427.1106253985345
QPR,1420.5725315201082
Watford,1413.238906808968
Huddersfield,1392.9211707310876
Swindon,1391.7859575013083
Coventry,1384.1400107902036
Ipswich,1380.8238919016146
Sheffield United,1380.608422306795
Oldham,1378.6952183875817
Norwich,1373.0525974404009
Derby,1370.6930100595673
Southampton,1361.2229592114882
Barnsley,1337.6957271508757
Wimbledon,1198.9139376678756
