team,elo
Barcelona,1832.0180925339982
Real Madrid,1797.0465837910858
Villarreal,1687.617408443168
Ath Madrid,1684.030279209755
Compostela,1643.3962827010566
Betis,1643.0708729554162
Vallecano,1588.3135459845168
Celta,1585.490165428466
Valencia,1581.5248038952927
Ath Bilbao,1574.2133182839343
Sociedad,1564.200783005184
Getafe,1557.2249941220896
Girona,1547.0353213855287
Levante,1534.482999289474
Osasuna,1533.6678897728389
Mallorca,1525.0700257767837
Alaves,1524.8160609978622
Espanol,1522.1515193033047
Sevilla,1520.366707540654
Leganes,1515.9802843863965
Elche,1509.029418037979
Extremadura,1508.258879246927
Hercules,1501.1522644980369
Cadiz,1488.4773348887882
Oviedo,1483.9790725308214
Huesca,1483.4681113609547
Xerez,1477.9981762420837
Eibar,1475.6749927071426
Tenerife,1467.4431379670598
Zaragoza,1467.1816974281617
Recreativo,1466.5103818219677
Gimnastic,1456.2640048414255
Sp Gijon,1455.2293560509722
La Coruna,1452.9441463892372
Santander,1450.6720161375733
Las Palmas,1435.8680011919248
Malaga,1432.0811528190939
Almeria,1430.3959560245792
Numancia,1429.1244244533893
Murcia,1428.1620437173542
Granada,1416.662120044116
Cordoba,1413.6506076103772
Albacete,1412.0403425247114
Merida,1399.5954879545584
Lerida,1368.962885100877
Valladolid,1367.5833812175774
Villareal,1339.2494610750873
Logrones,1281.2841923617327
Salamanca,1239.3390149486886
