team,elo
Paris SG,1783.6534316370291
Gueugnon,1686.7820775382536
Lens,1670.705757440153
Lille,1657.7006636711956
Lyon,1647.2104265621279
Monaco,1637.47621260711
Marseille,1637.151855621414
Strasbourg,1609.3826736062163
Rennes,1608.9224937816027
Martigues,1584.9025898474856
Paris FC,1546.4432617850052
Brest,1544.3850659910122
Toulouse,1539.6640647986128
Nice,1538.7005116442003
Lorient,1526.8086745972823
Auxerre,1508.9576691697823
Sochaux,1506.428772064759
Reims,1491.6897379164734
Le Havre,1480.6183476673896
Ajaccio GFCO,1478.8171600651906
Bastia,1476.152795598472
Clermont,1475.7318423978102
Evian Thonon Gaillard,1470.1773952064825
Angers,1469.5508145929452
Nimes,1467.9584563840706
Istres,1467.6240850185343
Amiens,1462.7477109808594
Le Mans,1461.2744180897873
Nancy,1461.0956750155328
Boulogne,1461.0278893694679
Sedan,1458.4952484070245
Valenciennes,1458.3377042200607
Bordeaux,1458.1970913919774
St Etienne,1454.9245869669141
Guingamp,1451.6952622040458
Caen,1441.6675257092877
Grenoble,1438.8538257667058
Nantes,1438.0284981628254
Arles,1435.1278370590076
Montpellier,1405.8915078826649
Dijon,1399.7813054074522
Troyes,1392.5603566308152
Ajaccio,1389.9473578034206
Metz,1381.158345269383
Chateauroux,1353.6874174363843
Cannes,1281.9035990157727
