team,elo
Inter,1828.9355757901237
Napoli,1749.9059366645797
Roma,1734.2746965831523
Juventus,1733.4034280132987
Atalanta,1700.5314864270126
Milan,1694.2740909469055
Como,1676.7738178961852
Lazio,1652.6246374208672
Bologna,1641.6404616885602
Fiorentina,1620.1828841830527
Udinese,1567.8783521432326
Torino,1564.0708167843027
Parma,1558.2735750797888
Genoa,1557.3801073015304
Sassuolo,1536.9264673176142
Cagliari,1529.4664170855422
Perugia,1526.4621774664868
Catania,1512.8824421230652
Carpi,1510.3486505721557
Lecce,1506.327433964966
Reggina,1486.2218963491778
Modena,1485.862905680589
Empoli,1483.7176344380819
Spezia,1483.3467358823198
Siena,1481.513728242141
Novara,1477.1980364266315
Frosinone,1473.6864931687235
Ascoli,1462.896466666047
Palermo,1459.7802139340695
Salernitana,1450.5623187848983
Benevento,1450.294821511416
Chievo,1448.945697285289
Verona,1445.2142921688599
Vicenza,1442.7035451297459
Treviso,1441.9381100020632
Bari,1441.363765156325
Sampdoria,1440.8424067841581
Cremonese,1440.3040012301356
Brescia,1437.5086197286153
Venezia,1434.1753481323508
Messina,1433.6388549058531
Crotone,1433.4878307402437
Ancona,1432.842359480995
Monza,1431.6378268402962
Spal,1424.3949886980718
Cesena,1418.214071709338
Pisa,1417.2497687142907
Livorno,1409.0230270111983
Pescara,1380.9957580802748
Piacenza,1380.3368916597938
Foggia,1329.6754683299796
Padova,1262.3918673696064
Reggiana,1175.4707943059977
